"gbifID","decimalLatitude","decimalLongitude"
2880842942,46.01883,8.95589
2880819273,47.28801,7.73606
2880796215,47.37753,7.86897
2880733915,46.59322,8.94546
2880719867,46.1597,9.10166
2880148119,47.24338,7.53769
2879893386,46.30357,7.4572
2879871339,45.928,9.01784
2878418011,46.82827,8.97871
2877473154,47.05775,8.59037
2877462244,46.83729,7.99574
2877432203,45.97386,8.95465
2877418258,46.97063,8.25995
2877278198,46.88361,7.47143
2877249077,46.78972,8.38817
2877241296,47.01749,7.93185
2877233003,46.74734,7.99482
2877232113,47.24341,7.40561
2877231109,46.01794,9.02044
2877203985,47.25691,7.46505
2877184146,46.77133,9.69737
2877062390,45.928,9.01784
2877044349,45.97297,9.01914
2874382309,42.01667,20.87306
2859219035,51.34419,12.386504
2846050370,46.5,7.6
2846023864,50.6,9.2
2846001833,47.6,10.6
2845992437,46.5,7.6
2845991030,47,12
2845985722,47.5,10.4
2845982727,47.5,10.4
2812762477,47.57,12.96
2812760753,47.52,12.96
2812741660,47.52,12.96
2812726548,47.57,12.96
2811383704,47.72,12.87
2811383699,47.57,13.04
2811307774,47.57,12.79
2811306628,47.57,12.87
2632657308,51.34008,0
2612575522,44.563155,6.944592
2612556392,45.75749,10.86429
2612554144,44.216599,7.442588
2612549468,42.924289,13.205213
2612549465,42.924289,13.205213
2612549464,42.821699,13.207136
2612549458,42.821699,13.207136
2612549454,42.973998,13.206655
2612549437,42.973998,13.206655
2612549436,42.973998,13.206655
2612549421,42.973998,13.206655
2612549384,42.973998,13.206655
2612549381,42.924289,13.205213
2612549378,42.924289,13.205213
2612549375,42.872918,13.206016
2612549373,42.872918,13.206016
2612548803,42.924289,13.205213
2612548798,42.823425,13.292435
2612548797,42.973998,13.206655
2612540989,44.199973,7.9183
2612537125,42.823425,13.292435
2612537124,42.823425,13.292435
2612537123,42.973998,13.206655
2612537122,42.821699,13.207136
2612537121,42.821699,13.207136
2612537120,42.773349,13.289473
2612537117,42.823425,13.292435
2612537116,42.773349,13.289473
2612537115,42.823425,13.292435
2612537113,42.973998,13.206655
2612537095,42.924289,13.205213
2612537094,42.924289,13.205213
2612537093,42.973998,13.206655
2612537091,42.924289,13.205213
2612537089,42.924289,13.205213
2612537087,42.973998,13.206655
2612537086,42.924289,13.205213
2612537085,42.973998,13.206655
2612537084,42.924289,13.205213
2612537083,42.924289,13.205213
2612536982,42.97393,13.289727
2612536981,42.97393,13.289727
2612536976,42.823425,13.292435
2612536975,42.924509,13.289218
2612536974,42.924509,13.289218
2612536973,42.97393,13.289727
2612536972,42.774061,13.208081
2612536971,42.924509,13.289218
2612536970,42.924509,13.289218
2612536968,42.774061,13.208081
2612536961,42.774061,13.208081
2612536929,42.774061,13.208081
2612536927,43.02522,13.205343
2612536923,42.823425,13.292435
2612536922,42.873976,13.289549
2612536921,43.02522,13.205343
2612536920,42.873976,13.289549
2612536919,42.823425,13.292435
2612536918,42.823425,13.292435
2612536917,42.823425,13.292435
2612536916,42.823425,13.292435
2612536886,42.873976,13.289549
2612536884,42.823425,13.292435
2612536883,42.823425,13.292435
2612536882,42.823425,13.292435
2612536879,42.823425,13.292435
2612536877,42.823425,13.292435
2612536876,42.823425,13.292435
2612536875,42.823425,13.292435
2612536874,42.823425,13.292435
2612536873,42.924289,13.205213
2612536846,42.97393,13.289727
2612536842,42.824492,13.117759
2612536841,42.824492,13.117759
2612536840,43.02522,13.205343
2612536839,42.973998,13.206655
2612536838,42.97393,13.289727
2612536837,42.823425,13.292435
2612536836,43.02522,13.205343
2612536835,42.973998,13.206655
2612536834,42.823425,13.292435
2612536831,42.873976,13.289549
2612536798,42.774061,13.208081
2612536793,42.774061,13.208081
2612536783,42.97393,13.289727
2612536776,42.973998,13.206655
2612536773,42.973998,13.206655
2612536709,42.823425,13.292435
2612536708,42.823425,13.292435
2612536685,42.823425,13.292435
2612536682,42.924289,13.205213
2612536679,42.924289,13.205213
2612536677,42.823425,13.292435
